Model,Accuracy,Precision,Recall,F1,ROC_AUC
RandomForest,0.9343235944021606,0.9697428139183056,0.7214406302757457,0.8273636656986124,0.9330069599750409
SVC,0.8788362386447336,0.7029804727646455,0.7698368036015757,0.7348912167606769,0.9128517395696462
DecisionTree,0.8808003928308372,0.7224061810154525,0.7366347777152504,0.7294511005851212,0.8800128170770897
LogisticRegression,0.8132825926835257,0.5505928853754941,0.7839054586381542,0.6468539586719294,0.8724465799760075
KNN,0.8886570095752516,0.8207964601769911,0.6263365222284749,0.7105011171401213,0.8563054656006917
